building,room,seat,first,last,nickname
CSSM,1215,1,CSSM1215,1,nick1
CSSM,1215,2,CSSM1215,2,nick2
CSSM,1215,3,CSSM1215,3,nick3
CSSM,1215,4,CSSM1215,4,nick4
CSSM,1219,1,CSSM1219,1,nick5
CSSM,1219,2,CSSM1219,2,nick6
CSSM,1219,3,CSSM1219,3,nick7
CSSM,1219,4,CSSM1219,4,nick8
CSSM,1219,5,CSSM1219,5,nick9
CSSM,1220,1,CSSM1220,1,nick10
CSSM,1220,2,CSSM1220,2,nick11
Snedecor,1411,1,Snedecor1411,1,nick12
Snedecor,1411,2,Snedecor1411,2,nick13
Snedecor,1411,3,Snedecor1411,3,nick14
Snedecor,1414,1,Snedecor1414,1,nick15
Snedecor,1414,2,Snedecor1414,2,nick16
Snedecor,1414,3,Snedecor1414,3,nick17
Snedecor,1414,4,Snedecor1414,4,nick18
Snedecor,1418,1,Snedecor1418,1,nick19
Snedecor,1418,2,Snedecor1418,2,nick20
Snedecor,1418,3,Snedecor1418,3,nick21
Snedecor,1418,4,Snedecor1418,4,nick22
Snedecor,1418,5,Snedecor1418,5,nick23
Snedecor,2207,1,Snedecor2207,1,nick24
Snedecor,2207,2,Snedecor2207,2,nick25
Snedecor,2207,3,Snedecor2207,3,nick26
Snedecor,2207,4,Snedecor2207,4,nick27
Snedecor,2207,5,Snedecor2207,5,nick28
Snedecor,2211,1,Snedecor2211,1,nick29
Snedecor,2211,2,Snedecor2211,2,nick30
Snedecor,2211,3,Snedecor2211,3,nick31
Snedecor,2211,4,Snedecor2211,4,nick32
Snedecor,2211,5,Snedecor2211,5,nick33
Snedecor,2215,1,Snedecor2215,1,nick34
Snedecor,2215,2,Snedecor2215,2,nick35
Snedecor,2215,3,Snedecor2215,3,nick36
Snedecor,2215,4,Snedecor2215,4,nick37
Snedecor,2215,5,Snedecor2215,5,nick38
Snedecor,2219,1,Snedecor2219,1,nick39
Snedecor,2219,2,Snedecor2219,2,nick40
Snedecor,2219,3,Snedecor2219,3,nick41
Snedecor,2219,4,Snedecor2219,4,nick42
Snedecor,2219,5,Snedecor2219,5,nick43
Snedecor,2406,1,Snedecor2406,1,nick44
Snedecor,2406,2,Snedecor2406,2,nick45
Snedecor,2406,3,Snedecor2406,3,nick46
Snedecor,2406,4,Snedecor2406,4,nick47
Snedecor,2406,5,Snedecor2406,5,nick48
Snedecor,2410,1,Snedecor2410,1,nick49
Snedecor,2410,2,Snedecor2410,2,nick50
Snedecor,2410,3,Snedecor2410,3,nick51
Snedecor,2410,4,Snedecor2410,4,nick52
Snedecor,2410,5,Snedecor2410,5,nick53
Snedecor,2414,1,Snedecor2414,1,nick54
Snedecor,2414,2,Snedecor2414,2,nick55
Snedecor,2414,3,Snedecor2414,3,nick56
Snedecor,2414,4,Snedecor2414,4,nick57
Snedecor,2414,5,Snedecor2414,5,nick58
Snedecor,2418,1,Snedecor2418,1,nick59
Snedecor,2418,2,Snedecor2418,2,nick60
Snedecor,2418,3,Snedecor2418,3,nick61
Snedecor,2418,4,Snedecor2418,4,nick62
Snedecor,2418,5,Snedecor2418,5,nick63
Snedecor,3207,1,Snedecor3207,1,nick64
Snedecor,3207,2,Snedecor3207,2,nick65
Snedecor,3207,3,Snedecor3207,3,nick66
Snedecor,3207,4,Snedecor3207,4,nick67
Snedecor,3207,5,Snedecor3207,5,nick68
Snedecor,3211,1,Snedecor3211,1,nick69
Snedecor,3211,2,Snedecor3211,2,nick70
Snedecor,3211,3,Snedecor3211,3,nick71
Snedecor,3211,4,Snedecor3211,4,nick72
Snedecor,3211,5,Snedecor3211,5,nick73
Snedecor,3215,1,Snedecor3215,1,nick74
Snedecor,3215,2,Snedecor3215,2,nick75
Snedecor,3215,3,Snedecor3215,3,nick76
Snedecor,3215,4,Snedecor3215,4,nick77
Snedecor,3215,5,Snedecor3215,5,nick78
Snedecor,3219,1,Snedecor3219,1,nick79
Snedecor,3219,2,Snedecor3219,2,nick80
Snedecor,3219,3,Snedecor3219,3,nick81
Snedecor,3219,4,Snedecor3219,4,nick82
Snedecor,3219,5,Snedecor3219,5,nick83
Snedecor,3220,1,Snedecor3220,1,nick84
Snedecor,3220,2,Snedecor3220,2,nick85
Snedecor,3220,3,Snedecor3220,3,nick86
Snedecor,3406,1,Snedecor3406,1,nick87
Snedecor,3406,2,Snedecor3406,2,nick88
Snedecor,3406,3,Snedecor3406,3,nick89
Snedecor,3406,4,Snedecor3406,4,nick90
Snedecor,3406,5,Snedecor3406,5,nick91
Snedecor,3410,1,Snedecor3410,1,nick92
Snedecor,3410,2,Snedecor3410,2,nick93
Snedecor,3410,3,Snedecor3410,3,nick94
Snedecor,3410,4,Snedecor3410,4,nick95
Snedecor,3410,5,Snedecor3410,5,nick96
Snedecor,3414,1,Snedecor3414,1,nick97
Snedecor,3414,2,Snedecor3414,2,nick98
Snedecor,3414,3,Snedecor3414,3,nick99
Snedecor,3414,4,Snedecor3414,4,nick100
Snedecor,3414,5,Snedecor3414,5,nick101
Snedecor,3418,1,Snedecor3418,1,nick102
Snedecor,3418,2,Snedecor3418,2,nick103
Snedecor,3418,3,Snedecor3418,3,nick104
Snedecor,3418,4,Snedecor3418,4,nick105
Snedecor,3418,5,Snedecor3418,5,nick106
